restart_count,cpu_usage_pct,memory_usage_pct,pod_ready,last_exit_code,waiting_reason,oom_killed_count,image_pull_errors,failed_scheduling_events,readiness_probe_failures,label
0,6.3,10.1,0,0,Pending,0,0,5,0,scheduling_failure
1,49.0,25.9,1,0,None,0,0,0,0,healthy
0,20.0,12.1,0,0,Unschedulable,0,0,8,0,scheduling_failure
12,68.0,86.8,0,1,CrashLoopBackOff,0,0,0,1,crash_loop
5,74.2,62.5,0,1,CrashLoopBackOff,0,0,0,4,crash_loop
0,7.3,11.4,0,0,Pending,0,0,3,0,scheduling_failure
0,13.3,17.3,0,0,Unschedulable,0,0,7,0,scheduling_failure
13,91.1,68.9,0,1,CrashLoopBackOff,0,0,0,7,crash_loop
0,23.1,42.4,1,0,None,0,0,0,0,healthy
3,77.0,46.1,0,1,Error,0,0,0,9,probe_failure
0,31.0,41.7,1,0,None,0,0,0,0,healthy
2,50.6,89.5,0,137,OOMKilled,2,0,0,2,oom_killed
1,8.9,21.9,0,0,Pending,0,0,5,0,scheduling_failure
6,64.8,78.4,0,1,Error,0,0,0,5,crash_loop
1,7.8,21.2,0,0,Pending,0,0,6,0,scheduling_failure
0,8.2,19.6,0,0,Unschedulable,0,0,6,1,scheduling_failure
3,64.1,65.2,0,0,Running,0,0,0,4,probe_failure
0,23.9,18.9,1,0,None,0,0,0,1,healthy
1,7.3,21.7,0,0,ErrImagePull,0,5,0,1,image_pull_error
0,10.0,0.0,0,0,Pending,0,0,8,0,scheduling_failure
2,44.2,49.0,0,1,Running,0,0,0,3,probe_failure
1,38.9,49.4,0,1,Running,0,0,0,6,probe_failure
1,6.0,9.0,0,0,ImagePullBackOff,0,4,0,0,image_pull_error
1,12.9,14.1,0,0,Unschedulable,0,0,4,1,scheduling_failure
0,31.5,27.6,1,0,None,0,0,0,0,healthy
5,64.2,67.2,0,0,Error,0,0,0,4,probe_failure
2,45.0,67.4,0,1,Running,0,0,0,3,probe_failure
3,65.5,92.9,0,137,Error,1,0,0,2,oom_killed
7,80.2,68.0,0,1,Error,0,0,0,6,crash_loop
0,10.4,13.6,0,0,Pending,0,0,2,0,scheduling_failure
2,39.0,57.8,0,1,Error,0,0,0,6,probe_failure
1,0.0,7.3,0,0,Pending,0,0,9,1,scheduling_failure
1,48.5,56.9,0,0,Error,0,0,0,3,probe_failure
0,56.1,100.0,0,137,Error,4,0,0,3,oom_killed
0,13.5,50.5,1,0,None,0,0,0,0,healthy
0,8.6,12.6,0,0,Pending,0,0,7,1,scheduling_failure
0,6.1,3.5,0,0,Unschedulable,0,0,4,0,scheduling_failure
0,29.0,40.6,1,0,None,0,0,0,0,healthy
3,60.4,94.1,0,137,Error,4,0,0,2,oom_killed
0,18.5,69.0,1,0,None,0,0,0,0,healthy
0,11.9,22.6,0,0,Unschedulable,0,0,3,1,scheduling_failure
8,87.3,88.0,0,1,Error,0,0,0,4,crash_loop
2,64.9,63.2,0,1,Running,0,0,0,5,probe_failure
4,61.8,95.5,0,137,Error,4,0,0,1,oom_killed
1,37.2,41.9,1,0,None,0,0,0,0,healthy
1,27.9,32.6,1,0,None,0,0,0,0,healthy
0,12.5,49.0,1,0,None,0,0,0,0,healthy
1,30.4,48.0,1,0,None,0,0,0,0,healthy
0,44.2,61.7,0,1,Running,0,0,0,6,probe_failure
1,26.9,38.6,1,0,None,0,0,0,1,healthy
1,40.0,37.0,1,0,None,0,0,0,0,healthy
6,56.1,100.0,0,137,Error,4,0,0,2,oom_killed
5,82.4,57.6,0,1,Error,0,0,0,8,crash_loop
1,11.8,11.7,0,0,Unschedulable,0,0,3,1,scheduling_failure
5,52.2,87.9,0,137,OOMKilled,4,0,0,1,oom_killed
0,28.9,44.3,1,0,None,0,0,0,0,healthy
8,64.2,66.8,0,1,CrashLoopBackOff,0,0,0,7,crash_loop
0,20.0,32.7,1,0,None,0,0,0,0,healthy
3,54.8,96.1,0,137,OOMKilled,0,0,0,2,oom_killed
1,18.6,35.1,1,0,None,0,0,0,1,healthy
2,43.1,60.3,0,0,Running,0,0,0,4,probe_failure
1,6.0,7.0,0,1,ErrImagePull,0,2,0,1,image_pull_error
0,15.0,16.4,0,1,ImagePullBackOff,0,6,0,1,image_pull_error
